,1
0,4:00 PM Sentinels 2 100 Thieves 1 Completed 4w 2d Stats: Map Player VODs: YouTube Twitch Week 1 Regular Season
1,8:15 PM KRÜ Esports 0 FURIA 2 Completed 4w 2d Stats: Map Player VODs: YouTube Twitch Week 1 Regular Season
2,4:00 PM LOUD 2 MIBR 1 Completed 4w 1d Stats: Map Player VODs: YouTube Week 1 Regular Season
3,7:45 PM Evil Geniuses 0 Cloud9 2 Completed 4w 1d Stats: Map Player VODs: YouTube Week 1 Regular Season
4,4:00 PM Leviatán 2 NRG Esports 0 Completed 4w 0d Stats: Map Player VODs: YouTube Week 1 Regular Season
5,4:00 PM Cloud9 1 LOUD 2 Completed 3w 2d Stats: Map Player VODs: YouTube Week 2 Regular Season
6,7:35 PM Leviatán 1 FURIA 2 Completed 3w 2d Stats: Map Player VODs: YouTube Week 2 Regular Season
7,4:00 PM NRG Esports 2 Sentinels 0 Completed 3w 1d Stats: Map Player VODs: YouTube Week 2 Regular Season
8,6:35 PM MIBR 2 KRÜ Esports 1 Completed 3w 1d Stats: Map Player VODs: YouTube Week 2 Regular Season
9,4:00 PM Evil Geniuses 0 100 Thieves 2 Completed 3w 0d Stats: Map Player VODs: YouTube Week 2 Regular Season
10,4:00 PM Cloud9 2 100 Thieves 0 Completed 2w 2d Stats: Map Player VODs: YouTube Week 3 Regular Season
11,7:00 PM NRG Esports 1 MIBR 2 Completed 2w 2d Stats: Map Player VODs: YouTube Week 3 Regular Season
12,4:00 PM Leviatán 2 Sentinels 1 Completed 2w 1d Stats: Map Player VODs: YouTube Week 3 Regular Season
13,8:00 PM Evil Geniuses 2 KRÜ Esports 1 Completed 2w 1d Stats: Map Player VODs: YouTube Twitch Week 3 Regular Season
14,4:00 PM LOUD 2 FURIA 0 Completed 2w 0d Stats: Map Player VODs: YouTube Week 3 Regular Season
15,4:00 PM LOUD 2 Sentinels 1 Completed 1w 3d Stats: Map Player VODs: YouTube Week 4 Regular Season
16,8:00 PM Leviatán 2 MIBR 0 Completed 1w 3d Stats: Map Player VODs: YouTube Week 4 Regular Season
17,4:00 PM KRÜ Esports 1 100 Thieves 2 Completed 1w 2d Stats: Map Player VODs: YouTube Week 4 Regular Season
18,7:20 PM Evil Geniuses 1 FURIA 2 Completed 1w 2d Stats: Map Player VODs: YouTube Week 4 Regular Season
19,4:00 PM NRG Esports 1 Cloud9 2 Completed 1w 1d Stats unavailable for Map 1 due to lobby rem... Stats: Map Player VODs: YouTube Week 4 Regular Season
20,8:05 PM MIBR 0 Sentinels 2 Completed 1w 1d Stats: Map Player VODs: YouTube Week 4 Regular Season
21,4:00 PM Leviatán 1 100 Thieves 2 Completed 1w 0d Stats: Map Player VODs: YouTube Week 4 Regular Season
22,8:00 PM Evil Geniuses 1 LOUD 2 Completed 1w 0d Stats: Map Player VODs: YouTube Week 4 Regular Season
23,4:00 PM Cloud9 2 FURIA 0 Completed 6d 6h Stats: Map Player VODs: YouTube Week 4 Regular Season
24,6:30 PM NRG Esports 2 KRÜ Esports 0 Completed 6d 3h Stats: Map Player VODs: YouTube Week 4 Regular Season
25,4:00 PM NRG Esports 2 100 Thieves 0 Completed 2d 6h Stats: Map Player VODs: YouTube Week 5 Regular Season
26,6:20 PM MIBR 0 FURIA 2 Completed 2d 4h Stats: Map Player VODs: YouTube Week 5 Regular Season
27,4:00 PM Cloud9 2 Sentinels 0 Completed 1d 6h Stats: Map Player VODs: YouTube Week 5 Regular Season
28,6:25 PM Leviatán 1 Evil Geniuses 2 Completed 1d 4h Stats: Map Player VODs: YouTube Week 5 Regular Season
29,4:00 PM LOUD 2 KRÜ Esports 1 Completed 6h 25m Stats: Map Player VODs: YouTube Week 5 Regular Season
30,4:00 PM Evil Geniuses – Sentinels – Upcoming 4d 17h Stats: Pending VODs: Pending Week 6 Regular Season
31,7:00 PM Cloud9 – MIBR – Upcoming 4d 20h Stats: Pending VODs: Pending Week 6 Regular Season
